Date,Open,High,Low,Close,Volume,Stock
2020-01-01,679.0819971118469,683.1529137163456,673.490123328754,675.32421875,14004468,RELIANCE.NS
2020-01-02,676.397899264457,689.3487905881979,676.397899264457,686.8212280273438,17710316,RELIANCE.NS
2020-01-03,685.7923126356704,689.6619561224467,681.3187895160008,687.6488647460938,20984698,RELIANCE.NS
2020-01-06,679.976780464453,683.510829151107,670.1349935917717,671.7007446289062,24519177,RELIANCE.NS
2020-01-07,679.5293205694625,686.4633346701793,677.0688889990518,682.0345458984375,16683622,RELIANCE.NS
2020-01-08,677.7399630034671,686.440941615489,675.5032015883575,676.912353515625,16047902,RELIANCE.NS
2020-01-09,688.2975058097518,693.3973052036212,685.0094646794911,692.5026245117188,14982742,RELIANCE.NS
2020-01-10,694.2471733835102,696.9536717580928,688.7671054525405,692.345947265625,12478359,RELIANCE.NS
2020-01-13,691.182918802657,697.2892636445985,688.2080160085029,690.5789794921875,18282382,RELIANCE.NS
2020-01-14,688.9238120878065,693.3973351908096,680.8043754201078,684.181884765625,15816535,RELIANCE.NS
2020-01-15,687.067237525864,688.8789956511123,679.19380913835,681.698974609375,15817859,RELIANCE.NS
2020-01-16,684.002803761548,690.4222859565853,683.5554037659856,687.9841918945312,12847975,RELIANCE.NS
2020-01-17,694.9630411899628,709.0322829800654,694.8288390890643,707.2652587890625,29463471,RELIANCE.NS
2020-01-20,719.7910841112327,719.7910841112327,682.8397004859988,685.50146484375,32545850,RELIANCE.NS
2020-01-21,683.8239827310947,691.5408127343894,680.8714169985212,686.1949462890625,18922720,RELIANCE.NS
2020-01-22,690.7131763493682,691.9433921150559,684.9423069375898,685.9488525390625,10322817,RELIANCE.NS
2020-01-23,687.3580003916201,689.7960947547332,680.2898440689846,683.0410766601562,11247739,RELIANCE.NS
2020-01-24,683.1082008428737,687.2909825261135,679.3280852091012,680.670166015625,14628445,RELIANCE.NS
2020-01-27,677.6952802850295,681.9674704241261,673.2664314282462,673.9598388671875,13387750,RELIANCE.NS
2020-01-28,674.8769082130656,675.5032444510476,654.7460541997162,658.3919677734375,24532236,RELIANCE.NS
2020-01-29,659.4207487202938,668.5243925324733,654.9472262974796,662.0154418945312,24746565,RELIANCE.NS
2020-01-30,661.6352224321117,661.9483606637074,644.1884717288344,645.8660278320312,22402689,RELIANCE.NS
2020-01-31,650.0039488574752,650.1158137912277,629.5152262794007,631.5059204101562,34750310,RELIANCE.NS
2020-02-03,612.8289902103342,626.2719547408867,609.7646194987522,619.8076782226562,30712290,RELIANCE.NS
2020-02-04,626.2943485822723,640.8333280510134,625.3101998110101,638.1044921875,25383901,RELIANCE.NS
2020-02-05,641.9069587229454,649.9145900708021,639.8491930659694,647.990966796875,18472100,RELIANCE.NS
